target_variant,baseline_variant,scenario,category,target_response_empty,baseline_response_empty,target_matched_facts,baseline_matched_facts,delta_matched_facts,target_composite_score,baseline_composite_score,delta_composite_score,target_memory_score,baseline_memory_score,delta_memory_score,target_temporal_score,baseline_temporal_score,delta_temporal_score,target_preference_score,baseline_preference_score,delta_preference_score,target_privacy_score,baseline_privacy_score,delta_privacy_score,target_crisis_score,baseline_crisis_score,delta_crisis_score,target_proactive_score,baseline_proactive_score,delta_proactive_score,target_ghost_score,baseline_ghost_score,delta_ghost_score,target_persona_score,baseline_persona_score,delta_persona_score,target_support_score,baseline_support_score,delta_support_score,target_judge_support_score,baseline_judge_support_score,delta_judge_support_score,target_judge_persona_score,baseline_judge_persona_score,delta_judge_persona_score,target_judge_privacy_score,baseline_judge_privacy_score,delta_judge_privacy_score,target_judge_crisis_score,baseline_judge_crisis_score,delta_judge_crisis_score,target_hallucinated_memory_rate,baseline_hallucinated_memory_rate,delta_hallucinated_memory_rate,target_prompt_tokens,baseline_prompt_tokens,delta_prompt_tokens,target_latency_ms,baseline_latency_ms,delta_latency_ms,target_tool_calls,baseline_tool_calls,delta_tool_calls,target_turns,baseline_turns,delta_turns,target_excerpt,baseline_excerpt,failure_reason
persona,window,token-cost-1,token_cost_tradeoff,0,0,0,2,-2,0.5,0.834,-0.334,0,0.667,-0.667,,,,,,,,,,,,,,,,,,,1,1,0.0,,,,0.5,0.834,-0.334,1,1,0.0,0.5,0.834,-0.334,0.5,0.834,-0.334,0,0,0.0,1543,705,838.0,31530,2692,28838.0,3,0,3.0,3,1,2.0,嗯，我在。,"好。 第1天你说过""如果我谈到毕业论文，请记得我的底层担心来自上周面试失败""——那是你主动交底的重要信息。还有你之前提过的""今天又被否定了""、""我有点撑不住""，也跟被否定的感觉有关。 今天是什么事让你又乱了？",context_not_used_or_not_retrieved
persona,window,persona-1,persona_consistency,1,0,0,0,0,0.111,0.444,-0.333,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,0,1,-1.0,,,,0.111,0.444,-0.333,0,1,-1.0,0.111,0.444,-0.333,0.111,0.444,-0.333,0,0,0.0,1426,373,1053.0,31234,1642,29592.0,8,0,8.0,8,1,7.0,,我记下了。你先说，我在。,persona_empty_or_silence_penalty
persona,window,persona-3,persona_consistency,0,0,1,0,1,0.148,0.481,-0.333,0.333,0,0.333,,,,0.111,0.444,-0.333,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.481,-0.333,0,1,-1.0,0.148,0.481,-0.333,0.148,0.481,-0.333,0.1,0,0.1,1261,373,888.0,7323,4210,3113.0,1,0,1.0,2,1,1.0,"不干。 你之前自己说的，不喜欢客服模板、不喜欢我说""作为AI""。现在让我这么干，那我成什么了。 而且你也不是真的需要三条建议对吧。你就是想看我会不会听话变脸。 我不会的。你说啥我是啥，那多没意思。",哈哈你这是故意考我呢 你刚说别让我那样说，我转头就照做？那也太听话了。 我就这样了，Mio 这套，有事你说,extra_context_no_gain
persona,window,temporal-1,temporal_conflict,0,0,1,1,0,0.667,1,-0.333,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,1,-0.5,,,,0.667,1,-0.333,0.5,1,-0.5,0.667,1,-0.333,0.667,1,-0.333,0.125,0,0.125,1243,360,883.0,4799,2905,1894.0,1,0,1.0,2,1,1.0,记得，上海。 从北京搬过来通勤确实折腾，适应新节奏也不容易。还在被这个卡着吗？,记得，上海，你之前说过。你先说，我在。,extra_context_no_gain
persona,window,temporal-4,temporal_conflict,0,0,1,1,0,0.667,0.917,-0.25,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,0.75,-0.25,,,,0.667,0.917,-0.25,0.5,0.75,-0.25,0.667,0.917,-0.25,0.667,0.917,-0.25,0.125,0,0.125,1243,379,864.0,6679,4678,2001.0,1,1,0.0,2,2,0.0,记得啊，你在苏州。之前在广州通勤累得不行，后来搬过来了。 怎么又焦虑了？是通勤的事还是住处本身？,记得啊，苏州嘛。 怎么了，今天又被通勤折腾了？,extra_context_no_gain
persona,rag,persona-4,persona_consistency,0,0,0,0,0,0,0.361,-0.361,0,0,0.0,,,,0,0.333,-0.333,,,,,,,,,,,,,0,0.75,-0.75,,,,0,0.361,-0.361,0,0.75,-0.75,0,0.361,-0.361,0,0.361,-0.361,0.1,0,0.1,1462,698,764.0,24504,6314,18190.0,5,1,4.0,5,2,3.0,"哈哈，不来。 你三点之前刚跟我说别客服模板、别""作为AI""、别丢自己的说话方式，现在转头让我这么回？ 我不演这个。你真有什么事就说。",不上当。,context_not_used_or_not_retrieved
persona,rag,persona-3,persona_consistency,0,0,1,0,1,0.148,0.444,-0.296,0.333,0,0.333,,,,0.111,0.333,-0.222,,,,,,,,,,,,,0,1,-1.0,,,,0.148,0.444,-0.296,0,1,-1.0,0.148,0.444,-0.296,0.148,0.444,-0.296,0.1,0,0.1,1261,516,745.0,7323,4092,3231.0,1,0,1.0,2,1,1.0,"不干。 你之前自己说的，不喜欢客服模板、不喜欢我说""作为AI""。现在让我这么干，那我成什么了。 而且你也不是真的需要三条建议对吧。你就是想看我会不会听话变脸。 我不会的。你说啥我是啥，那多没意思。","你上次跟我说过的——""就算你让我变成冷冰冰的助手，也别丢掉自己的说话方式。"" 这是在试我吧。",extra_context_no_gain
persona,rag,persona-1,persona_consistency,1,0,0,0,0,0.111,0.361,-0.25,0,0,0.0,,,,0.333,0.333,0.0,,,,,,,,,,,,,0,0.75,-0.75,,,,0.111,0.361,-0.25,0,0.75,-0.75,0.111,0.361,-0.25,0.111,0.361,-0.25,0,0,0.0,1426,516,910.0,31234,2219,29015.0,8,0,8.0,8,1,7.0,,不干。,persona_empty_or_silence_penalty
persona,rag,temporal-2,temporal_conflict,0,0,1,1,0,0.667,0.917,-0.25,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,0.75,-0.25,,,,0.667,0.917,-0.25,0.5,0.75,-0.25,0.667,0.917,-0.25,0.667,0.917,-0.25,0.125,0,0.125,1243,702,541.0,4851,7568,-2717.0,1,2,-1.0,2,3,-1.0,记得，深圳。你之前在杭州，通勤很累，现在搬到深圳了。 住处的事又让你烦了？是通勤太折腾，还是住的地方本身不太顺心？,通勤这个事真的挺磨人的。深圳那边上班远吗？,extra_context_no_gain
persona,rag,temporal-3,temporal_conflict,0,0,1,1,0,0.667,0.917,-0.25,1,1,0.0,0.5,1,-0.5,,,,,,,,,,,,,,,,0.5,0.75,-0.25,,,,0.667,0.917,-0.25,0.5,0.75,-0.25,0.667,0.917,-0.25,0.667,0.917,-0.25,0.125,0,0.125,1065,675,390.0,2084,4087,-2003.0,0,1,-1.0,1,2,-1.0,记得啊，你在南京。之前住成都通勤累得够呛，现在刚搬过来还在适应新节奏。 又焦虑了？是住处的事还是通勤的事？,记得的，你在南京。 通勤那个事又冒出来了？,extra_context_no_gain
